Codigo do Produto	Nome do Produto	Embalagem do produto	Categoria do Produto	Status do Produto
12	ACELGA KG	Kg	1	Ativo
40392	CEIA NATAL PERU ARROZ BRANCO TORTA FRUT SECA	Un	1	Ativo
46378	CEIA NATAL BACALHAU ARROZ BRANCO BOLO TRUFADO	Un	1	Ativo
51583	CEIA NATAL CHESTER ARROZ A GREGA TORTA FRUT SECA	Un	1	Ativo
51584	CEIA NATAL PERU ARROZ A GREGA TORTA HOLANDESA	Un	1	Inativo
51585	CEIA NATAL BACALHAU ARROZ C/CAMARAO BOLO TRUFADO	Un	1	Inativo
51586	CEIA NATAL CHESTER ARROZ C/AMENDOAS TORTA FRUT SEC	Un	1	Inativo
51587	CEIA NATAL PERU ARROZ C/AMENDOAS TORTA HOLANDESA	Un	1	Inativo
51588	CEIA NATAL BACALHAU ARROZ A GREGA BOLO TRUFADO	Un	1	Inativo
52197	CEIA NATAL PERNIL/CHEST ARROZ BCO PUDIM	Un	1	Inativo
52198	CEIA NATAL PERNIL/CHEST ARROZ/GREGA PUDIM	Un	1	Inativo
52199	CEIA NATAL PERNIL/CHEST ARROZ AMEND PUDIM	Un	1	Inativo
53957	MENU PAIS BACALHAU GOMES DE SA ARROZ BACALHAU	Un	1	Inativo
53958	MENU PAIS BACALHAU GOMES DE SA ARROZ BRANCO	Un	1	Inativo
53959	MENU PAIS SALMAO AO ALHO PORO ARROZ CAMARAO	Un	1	Inativo
53960	MENU MAES SALMAO AO ALHO PORO ARROZ BRANCO	Un	1	Inativo
53961	MENU MAES LASANHA BOLONHESA ARROZ BRANC BOLO TRUF	Un	1	Ativo
55763	CEIA NATAL PERNIL ARROZ BRANCO TORTA FRUT SECA	Un	1	Inativo
55764	CEIA NATAL PERNIL ARROZ A GREGA TORTA HOLANDESA	Un	1	Inativo
55765	CEIA NATAL PERNIL ARROZ C/AMENDOA TORTA HOLANDESA	Un	1	Inativo
58214	CEIA NATAL BACALHAU ARROZ BRANCO PUDIM	Un	1	Inativo
58216	CEIA NATAL BACALHAU ARROZ BRANCO TORTA NOZES	Un	1	Inativo
58217	CEIA NATAL BACALHAU ARROZ A GREGA TORTA HOLANDESA	Un	1	Inativo
58220	CEIA NATAL BACALHAU ARROZ A GREGA PUDIM	Un	1	Inativo
58221	CEIA NATAL BACALHAU ARROZ A GREGA TORTA NOZES	Un	1	Inativo
58223	CEIA NATAL BACALHAU ARROZ C/CAMARAO TORTA HOLANDES	Un	1	Inativo
58224	CEIA NATAL BACALHAU ARROZ C/CAMARAO PUDIM	Un	1	Inativo
58225	CEIA NATAL BACALHAU ARROZ C/CAMARAO TORTA NOZES	Un	1	Inativo
58226	CEIA NATAL CHESTER ARROZ BRANCO BOLO NOZES	Un	1	Inativo
58227	CEIA NATAL CHESTER ARROZ A GREGA BOLO TRUFADO	Un	1	Inativo
58228	CEIA NATAL CHESTER ARROZ A GREGA TORTA HOLANDESA	Un	1	Inativo
58229	CEIA NATAL CHESTER ARROZ A GREGA PUDIM	Un	1	Inativo
58231	CEIA NATAL CHESTER ARROZ C/AMENDOAS BOLO TRUFADO	Un	1	Inativo
58232	CEIA NATAL CHESTER ARROZ C/AMENDOAS TORTA HOLANDES	Un	1	Inativo
58233	CEIA NATAL CHESTER ARROZ C/AMENDOAS PUDIM	Un	1	Inativo
58234	CEIA NATAL CHESTER ARROZ BRANCO TORTA HOLANDESA	Un	1	Inativo
58235	CEIA NATAL CHESTER ARROZ BRANCO PUDIM	Un	1	Inativo
58237	CEIA NATAL PERU ARROZ C/AMENDOAS BOLO ABACA/COCO	Un	1	Inativo
58239	CEIA NATAL PERU ARROZ BRANCO BOLO ABACA/COCO	Un	1	Inativo
58240	CEIA NATAL PERU ARROZ A GREGA BOLO ABAC/COCO	Un	1	Inativo
58241	CEIA NATAL PERU ARROZ A GREGA PUDIM	Un	1	Inativo
58242	CEIA NATAL PERU ARROZ A GREGA BOLO TRUFADO	Un	1	Inativo
