codigo,Produto,Categoria,Embalagem,Status
47623,ABOBORA MORANGA C/1KG BOBO CAMARAO,Acompanhamentos,Kg,Ativo
12,ACELGA KG,Menu,Kg,Ativo
40183,ARROZ A GREGA RESF KG,Acompanhamentos,Kg,Ativo
40181,ARROZ BRANCO COZIDO RESF KG,Acompanhamentos,Kg,Ativo
63164,Arroz C/uva Passa E Amendoas Resf Kg,Acompanhamentos,Kg,Ativo
72891,ARROZ COM AMENDOAS KG,Acompanhamentos,Kg,Inativo
42161,ARROZ COM BACALHAU PEG PESE RESF KG,Acompanhamentos,Kg,Ativo
47619,ARROZ COM CAMARAO PEG PESE RESF KG,Acompanhamentos,Kg,Ativo
63165,Arroz Integral Resf Kg,Acompanhamentos,Kg,Inativo
41570,Bacalhau Gomes De Sa Resf Kg,Carnes e Peixes,Kg,Ativo
40014,BACALHOADA PEG PESE KG,Carnes e Peixes,Kg,Inativo
60905,BARCA ESPECIAL COMPLETO PEG PESE 650G,Orientais,Un,Ativo
60906,BARCA ESPECIAL PEG PESE 350G,Orientais,Un,Ativo
60907,BARCA PEG PESE 350G,Orientais,Un,Ativo
55300,Batata Gratinada/alho Poro Peg Pese Resf Kg,Acompanhamentos,Kg,Ativo
48057,BOBO DE CAMARAO RESF KG,Carnes e Peixes,Kg,Inativo
40808,BOLINHO DE BACALHAU KG,Salgados,Kg,Ativo
63171,Bolinho De Bacalhau Resf 400g,Salgados,Un,Inativo
60763,BOLINHO DE QUEIJO KG,Salgados,Kg,Inativo
60240,BOLINHO PRESUNTO/QJO KG,Salgados,Kg,Inativo
63196,Bolo Conf Abacaxi C/coco 1kg,Bolos,Un,Ativo
63198,Bolo Conf Brigadeiro 1kg,Bolos,Un,Ativo
63205,BOLO CONF FLORESTA BRANCA 1KG,Bolos,Un,Inativo
63200,Bolo Conf Floresta Mista 1kg,Bolos,Un,Ativo
63202,BOLO CONF FLORESTA NEGRA 1KG,Bolos,Un,Inativo
63206,Bolo Conf Morango 1kg,Bolos,Un,Ativo
63203,Bolo Conf Nozes Gelado 1kg,Bolos,Un,Ativo
63204,Bolo Conf Prestigio Gelado 1kg,Bolos,Un,Ativo
63208,Bolo Conf Trufado Chocolate 1kg,Bolos,Un,Ativo
71341,BOLO DELICIA DE CEREJA 800G,Bolos,Un,Ativo
71345,BOLO DOIS AMORES 1KG,Bolos,Un,Ativo
10841,Bolo Pascoa C/frutas Trad 500g,Bolos,Un,Inativo
17754,Bolo Pascoa C/gotas De Choc 500g,Bolos,Un,Inativo
63218,Canelone Presunto/qjo Peg Pese Resf Kg,Massas,Kg,Inativo
1012,CARNE BOV COXAO DURO BIFE KG,Carnes e Peixes,Kg,Inativo
1010,CARNE BOV COXAO MOLE BIFE KG,Carnes e Peixes,Un,Inativo
51588,CEIA NATAL BACALHAU ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
58220,CEIA NATAL BACALHAU ARROZ A GREGA PUDIM,Menu,Un,Inativo
58217,CEIA NATAL BACALHAU ARROZ A GREGA TORTA HOLANDESA,Menu,Un,Inativo
58221,CEIA NATAL BACALHAU ARROZ A GREGA TORTA NOZES,Menu,Un,Inativo
46378,CEIA NATAL BACALHAU ARROZ BRANCO BOLO TRUFADO,Menu,Un,Ativo
58214,CEIA NATAL BACALHAU ARROZ BRANCO PUDIM,Menu,Un,Inativo
58216,CEIA NATAL BACALHAU ARROZ BRANCO TORTA NOZES,Menu,Un,Inativo
51585,CEIA NATAL BACALHAU ARROZ C/CAMARAO BOLO TRUFADO,Menu,Un,Inativo
58224,CEIA NATAL BACALHAU ARROZ C/CAMARAO PUDIM,Menu,Un,Inativo
58223,CEIA NATAL BACALHAU ARROZ C/CAMARAO TORTA HOLANDES,Menu,Un,Inativo
58225,CEIA NATAL BACALHAU ARROZ C/CAMARAO TORTA NOZES,Menu,Un,Inativo
58227,CEIA NATAL CHESTER ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
58229,CEIA NATAL CHESTER ARROZ A GREGA PUDIM,Menu,Un,Inativo
51583,CEIA NATAL CHESTER ARROZ A GREGA TORTA FRUT SECA,Menu,Un,Ativo
58228,CEIA NATAL CHESTER ARROZ A GREGA TORTA HOLANDESA,Menu,Un,Inativo
58226,CEIA NATAL CHESTER ARROZ BRANCO BOLO NOZES,Menu,Un,Inativo
58235,CEIA NATAL CHESTER ARROZ BRANCO PUDIM,Menu,Un,Inativo
58234,CEIA NATAL CHESTER ARROZ BRANCO TORTA HOLANDESA,Menu,Un,Inativo
58231,CEIA NATAL CHESTER ARROZ C/AMENDOAS BOLO TRUFADO,Menu,Un,Inativo
58233,CEIA NATAL CHESTER ARROZ C/AMENDOAS PUDIM,Menu,Un,Inativo
51586,CEIA NATAL CHESTER ARROZ C/AMENDOAS TORTA FRUT SEC,Menu,Un,Inativo
58232,CEIA NATAL CHESTER ARROZ C/AMENDOAS TORTA HOLANDES,Menu,Un,Inativo
63083,CEIA NATAL FGO RECH ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
58283,CEIA NATAL FGO RECH ARROZ A GREGA PUDIM,Menu,Un,Inativo
63085,CEIA NATAL FGO RECH ARROZ BRANCO BOLO TRUFADO,Menu,Un,Inativo
58282,CEIA NATAL FGO RECH ARROZ BRANCO PUDIM,Menu,Un,Inativo
63089,CEIA NATAL FGO RECH ARROZ C/AMENDOA BOLO TRUFADO,Menu,Un,Inativo
63090,CEIA NATAL FGO RECH ARROZ C/AMENDOA PUDIM,Menu,Un,Inativo
72093,CEIA NATAL LASANHA B ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
72095,CEIA NATAL LASANHA B ARROZ A GREGA PUDIM,Menu,Un,Inativo
72094,CEIA NATAL LASANHA B ARROZ A GREGA TORTA HOLANDESA,Menu,Un,Inativo
72096,CEIA NATAL LASANHA B ARROZ C/AMEND BOLO TRUFADO,Menu,Un,Inativo
72098,CEIA NATAL LASANHA B ARROZ C/AMEND PUDIM,Menu,Un,Inativo
72097,CEIA NATAL LASANHA B ARROZ C/AMEND TORTA HOLANDESA,Menu,Un,Inativo
58250,CEIA NATAL PERNIL ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
58252,CEIA NATAL PERNIL ARROZ A GREGA PUDIM,Menu,Un,Inativo
58251,CEIA NATAL PERNIL ARROZ A GREGA TORTA DE LIMAO,Menu,Un,Inativo
55764,CEIA NATAL PERNIL ARROZ A GREGA TORTA HOLANDESA,Menu,Un,Inativo
58255,CEIA NATAL PERNIL ARROZ BRANCO BOLO NOZES,Menu,Un,Inativo
58257,CEIA NATAL PERNIL ARROZ BRANCO PUDIM,Menu,Un,Inativo
58256,CEIA NATAL PERNIL ARROZ BRANCO TORTA DE LIMAO,Menu,Un,Inativo
55763,CEIA NATAL PERNIL ARROZ BRANCO TORTA FRUT SECA,Menu,Un,Inativo
58258,CEIA NATAL PERNIL ARROZ C/AMENDOA BOLO TRUFADO,Menu,Un,Inativo
58260,CEIA NATAL PERNIL ARROZ C/AMENDOA PUDIM,Menu,Un,Inativo
58259,CEIA NATAL PERNIL ARROZ C/AMENDOA TORTA DE LIMAO,Menu,Un,Inativo
55765,CEIA NATAL PERNIL ARROZ C/AMENDOA TORTA HOLANDESA,Menu,Un,Inativo
58272,CEIA NATAL PERNIL/CHEST ARROZ AMEND BOLO TRUFADO,Menu,Un,Inativo
58273,CEIA NATAL PERNIL/CHEST ARROZ AMEND PAVE,Menu,Un,Inativo
52199,CEIA NATAL PERNIL/CHEST ARROZ AMEND PUDIM,Menu,Un,Inativo
58274,CEIA NATAL PERNIL/CHEST ARROZ AMEND TORTA HOLANDES,Menu,Un,Inativo
58277,CEIA NATAL PERNIL/CHEST ARROZ BCO BOLO NOZES,Menu,Un,Inativo
58275,CEIA NATAL PERNIL/CHEST ARROZ BCO BOLO TRUFADO,Menu,Un,Inativo
58276,CEIA NATAL PERNIL/CHEST ARROZ BCO PAVE,Menu,Un,Inativo
52197,CEIA NATAL PERNIL/CHEST ARROZ BCO PUDIM,Menu,Un,Inativo
58268,CEIA NATAL PERNIL/CHEST ARROZ/GREGA BOLO TRUFADO,Menu,Un,Inativo
58270,CEIA NATAL PERNIL/CHEST ARROZ/GREGA PAVE,Menu,Un,Inativo
52198,CEIA NATAL PERNIL/CHEST ARROZ/GREGA PUDIM,Menu,Un,Inativo
58271,CEIA NATAL PERNIL/CHEST ARROZ/GREGA TORTA HOLANDES,Menu,Un,Inativo
58240,CEIA NATAL PERU ARROZ A GREGA BOLO ABAC/COCO,Menu,Un,Inativo
58242,CEIA NATAL PERU ARROZ A GREGA BOLO TRUFADO,Menu,Un,Inativo
58241,CEIA NATAL PERU ARROZ A GREGA PUDIM,Menu,Un,Inativo
51584,CEIA NATAL PERU ARROZ A GREGA TORTA HOLANDESA,Menu,Un,Inativo
58239,CEIA NATAL PERU ARROZ BRANCO BOLO ABACA/COCO,Menu,Un,Inativo
58247,CEIA NATAL PERU ARROZ BRANCO BOLO BRIGADEIRO,Menu,Un,Inativo
58246,CEIA NATAL PERU ARROZ BRANCO PUDIM,Menu,Un,Inativo
40392,CEIA NATAL PERU ARROZ BRANCO TORTA FRUT SECA,Menu,Un,Ativo
58237,CEIA NATAL PERU ARROZ C/AMENDOAS BOLO ABACA/COCO,Menu,Un,Inativo
58245,CEIA NATAL PERU ARROZ C/AMENDOAS BOLO TRUFADO,Menu,Un,Inativo
58244,CEIA NATAL PERU ARROZ C/AMENDOAS PUDIM,Menu,Un,Inativo
51587,CEIA NATAL PERU ARROZ C/AMENDOAS TORTA HOLANDESA,Menu,Un,Inativo
72090,CEIA NATAL SALMAO ARROZ C/BACALH BOLO TRUFADO,Menu,Un,Inativo
72092,CEIA NATAL SALMAO ARROZ C/BACALH PUDIM,Menu,Un,Inativo
72091,CEIA NATAL SALMAO ARROZ C/BACALH TORTA HOLANDESA,Menu,Un,Inativo
72087,CEIA NATAL SALMAO ARROZ CAMARAO BOLO TRUFADO,Menu,Un,Inativo
72089,CEIA NATAL SALMAO ARROZ CAMARAO PUDIM,Menu,Un,Inativo
72088,CEIA NATAL SALMAO ARROZ CAMARAO TORTA HOLANDESA,Menu,Un,Inativo
46381,CHESTER ASSADO UN - ACOMPANHA DECORACAO,Assados,Un,Inativo
70634,COMBINADO ESPECIAL PEG PESE 800G,Orientais,Un,Ativo
61824,"COMBINADO VARIADO 1,6KG",Orientais,Un,Inativo
63168,COSTELA SUINA C/MOLHO BARBECUE PEG PEG RESF KG,Carnes e Peixes,Kg,Inativo
50561,COXINHA FRITA PEG PESE KG,Salgados,Kg,Inativo
60246,CROQUETE PEITO PERU/QUEIJO KG,Salgados,Kg,Inativo
60244,CROQUETE PRESUNTO/QUEIJO KG,Salgados,Kg,Inativo
61844,Cuscuz Camarao 140g,Acompanhamentos,Un,Inativo
47620,CUSCUZ CAMARAO KG,Acompanhamentos,Kg,Inativo
64,ENDIVIA 500G,Tortas Doces,Un,Inativo
63688,Farofa Banana C/ameixa Resf Kg,Acompanhamentos,Kg,Inativo
63690,Farofa C/dende Resf Kg,Acompanhamentos,Kg,Inativo
55301,FAROFA RESF KG,Acompanhamentos,Kg,Ativo
14022024,FAROFA RICA RESF KG,Menu,Un,Inativo
40009,FAROFA RICA RESF KG,Acompanhamentos,Kg,Ativo
63169,File Salmao Ao Alho Poro Peg Pese Resf Kg,Carnes e Peixes,Kg,Ativo
62458,File Tilapia C/molho Camarao Resf Kg,Carnes e Peixes,Kg,Ativo
50156,FRANGO DESOSSADO RECH C/FAROFA RICA UN,Assados,Un,Ativo
60944,HOT ROLL 300G,Orientais,Un,Ativo
40203,KIBE PEG PESE KG,Salgados,Kg,Inativo
49641,Lasanha Bolonhesa Peg Pese Cong Kg,Massas,Kg,Inativo
63303,LASANHA BOLONHESA RESF 2KG,Massas,Un,Ativo
40132,LENTILHA PEG PESE RESF KG,Acompanhamentos,Kg,Inativo
46382,LOMBO ASSADO PEG PESE RESF KG,Assados,Kg,Inativo
63182,LOMBO BACALHAU C/BATATA AO MURRO RESF KG,Carnes e Peixes,Kg,Inativo
72217,LOMBO SUINO ASSADO C/MOLHO ERVA 1KG,Assados,Un,Inativo
61839,MENU MAES BACALHAU GOMES SA ARROZ BAC BOLO TRUF,Menu,Un,Ativo
72749,MENU MAES BACALHAU GOMES SA ARROZ BAC PUDIM,Menu,Un,Ativo
72750,MENU MAES BACALHAU GOMES SA ARROZ BAC TORT HOLAND,Menu,Un,Ativo
61838,MENU MAES BACALHAU GOMES SA ARROZ BRANC BOLO TRUF,Menu,Un,Ativo
72751,MENU MAES BACALHAU GOMES SA ARROZ BRANC PUDIM,Menu,Un,Ativo
72752,MENU MAES BACALHAU GOMES SA ARROZ BRANC TORT HOL,Menu,Un,Ativo
61840,MENU MAES BACALHAU GOMES SA ARROZ CAMAR BOLO TRUF,Menu,Un,Ativo
72753,MENU MAES BACALHAU GOMES SA ARROZ CAMAR PUDIM,Menu,Un,Ativo
72754,MENU MAES BACALHAU GOMES SA ARROZ CAMAR TORT HOL,Menu,Un,Ativo
72771,MENU MAES FILE MIGNON MOL MAD ARR AMEND BOLO TRUF,Menu,Un,Ativo
72772,MENU MAES FILE MIGNON MOL MAD ARR AMEND PUDIM,Menu,Un,Ativo
72773,MENU MAES FILE MIGNON MOL MAD ARR AMEND TORT HOL,Menu,Un,Ativo
64042,MENU MAES FILE MIGNON MOL MAD ARR AMENDOAS,Menu,Un,Inativo
59433,MENU MAES FILE MIGNON MOL MAD ARR BRANC BOLO TRUF,Menu,Un,Ativo
72769,MENU MAES FILE MIGNON MOL MAD ARR BRANC PUDIM,Menu,Un,Inativo
72770,MENU MAES FILE MIGNON MOL MAD ARR BRANC TORT HOL,Menu,Un,Ativo
59437,MENU MAES FILE MIGNON MOL MAD ARR GREGA,Menu,Un,Inativo
72774,MENU MAES FILE MIGNON MOL MAD ARR GREGA BOLO TRUF,Menu,Un,Ativo
72775,MENU MAES FILE MIGNON MOL MAD ARR GREGA PUDIM,Menu,Un,Ativo
72776,MENU MAES FILE MIGNON MOL MAD ARR GREGA TORT HOL,Menu,Un,Ativo
64033,MENU MAES FRANGO RECHEADO ARROZ AMEND BOL TRUF,Menu,Un,Ativo
73050,MENU MAES FRANGO RECHEADO ARROZ AMEND PUDIM,Menu,Un,Ativo
73051,MENU MAES FRANGO RECHEADO ARROZ AMEND TORT HOL,Menu,Un,Ativo
